feature,importance
BMI,509
AGEM_B,230
SHLT,180
COG27,177
DRINKN,133
WLIPRM,111
COGTOT,108
BPPULS,101
HIBPE,91
BEQ500,88
AGEM_E,86
DLRC,77
CESD,75
BPSYS,73
AGEY_B,69
BEQ100,68
BEQ10K,64
SHLTC,63
VIGACT,56
MSTAT,51
DRINK,49
BPDIA,46
MOBILA,41
wave,40
SHLTCF,40
BWC86,32
BEQANY,27
SMOKEN,27
BALFUL,26
SMOKEV,24
ADL6A,22
CHOLST,19
ARMSA,15
HLTHLM,15
BATH,13
LBHLTHPRB,12
LBSATHLTH,11
ADL5A,11
ARMS,11
CACT,11
DEPCON,10
MSTATF,10
BACK,10
LBFAMHLTHPRB,10
BALFULC,8
AGEM_M,7
BWC20,6
DEPEVD,6
BATHA,5
ADL5H,5
BALSBS,4
AGEY_E,4
ANS3PQ,3
BATHH,3
DEPDOWN,2
FCACT,2
ALONE,2
BALFULT,1
COGMODE,0
BWC20P,0
DLRC20,0
ALZHES,0
ALZHEE,0
DEPHUN,0
CACTP,0
AIMR10,0
BWC20W,0
DRINKR,0
ALZHEQ,0
AGEY_M,0
AMSTOT,0
ACGTOT,0
BPPOS,0
FCACTP,0
ALZHE,0
CESDM,0
ALZHEF,0
COGTOTP,0
ALZHEE2,0
BEQLRG,0
